Наименование;URL;Артикул;Бренд;Path;Коллекция;Тип;Назначение;Управление;Установка;Ширина;Высота;Глубина;Материал;Дизайн;Цвет;Количество монтажных отверстий;Тип излива;Форма излива;Длина излива;Смеситель в комплекте;Ручной душ;Шланг в комплекте;Стандарт подводки;Длина шланга;Верхний душ в комплекте;Страна производителя;Тропический душ в комплекте;Количество режимов душа;Диаметр лейки;Термостат;Размер верхнего душа;Вес;Количество режимов верхнего душа
Душевая стойка Cezares Vintage CAI-03/24-M;https://www.aquanet.ru/product/dushevaya_stoyka_cezares_vintage_vintage_cai_03_24_m/;VINTAGE-CAI-03/24-M;Cezares;Главная @ Душевые системы @ Душевые стойки ;Vintage;Душевая стойка;Для душа;;На стену;200;1268;455;Латунь;Модерн;Золото;2;;;;Нет;Есть;Есть;01.фев;1500;1500;Италия;Да;;;Нет;200;6;
Душевая стойка Cezares Nostalgia CD-02-M;https://www.aquanet.ru/product/dushevaya_stoyka_cezares_nostalgia_nostalgia_cd_02_m/;NOSTALGIA-CD-02-M;Cezares;Главная @ Душевые системы @ Душевые стойки ;Nostalgia;Душевая стойка;Для душа;Двухвентильное;На стену;200;1290;455;Латунь;Модерн;Бронза;3;;;;Да;Есть;Есть;01.фев;1500;1500;Италия;Да;;;Нет;200;6;
Душевая стойка Cezares Nostalgia CD-02-Bi;https://www.aquanet.ru/product/dushevaya_stoyka_cezares_nostalgia_nostalgia_cd_02_bi/;NOSTALGIA-CD-02-Bi;Cezares;Главная @ Душевые системы @ Душевые стойки ;Nostalgia;Душевая стойка;Для душа;Двухвентильное;На стену;200;1290;455;Латунь;Модерн;Бронза;3;;;;Да;Есть;Есть;01.фев;1500;1500;Италия;Да;;;Нет;200;6;
Душевой гарнитур Cezares Vintage SD-02-Sw;https://www.aquanet.ru/product/dushevoy_garnitur_cezares_vintage_vintage_sd_02_sw/;VINTAGE-SD-02-Sw;Cezares;Главная @ Душевые системы @ Душевые гарнитуры ;Vintage;Душевой гарнитур;Для душа;;На стену;120;715;117;Латунь;Модерн;Бронза;2;;;;Нет;Есть;;;1500;1500;Италия;;;;;;4;
Душевой гарнитур Cezares Lord SD-01-Bi;https://www.aquanet.ru/product/dushevoy_garnitur_cezares_lord_lord_sd_01_bi/;LORD-SD-01-Bi;Cezares;Главная @ Душевые системы @ Душевые гарнитуры ;Lord;Душевой гарнитур;Для душа;;На стену;120;620;117;Латунь;Модерн;Хром;2;;;;Нет;Есть;;;1500;1500;Италия;;;;;;4;
Душевой гарнитур Cezares Lord SD-03/24-Bi;https://www.aquanet.ru/product/dushevoy_garnitur_cezares_lord_lord_sd_03_24_bi/;LORD-SD-03/24-Bi;Cezares;Главная @ Душевые системы @ Душевые гарнитуры ;Lord;Душевой гарнитур;Для душа;;На стену;120;620;117;Латунь;Модерн;Золото;2;;;;Нет;Есть;;;1500;1500;Италия;;;;;;4;
Душевая стойка Cezares Vintage CAI-02-M;https://www.aquanet.ru/product/dushevaya_stoyka_cezares_vintage_vintage_cai_02_m/;VINTAGE-CAI-02-M;Cezares;Главная @ Душевые системы @ Душевые стойки ;Vintage;Душевая стойка;Для душа;;На стену;200;1268;455;Латунь;Модерн;Бронза;2;;;;Нет;Есть;Есть;01.фев;1500;1500;Италия;Да;;;Нет;200;6;
Душевая стойка Cezares Nostalgia CD-03/24-M;https://www.aquanet.ru/product/dushevaya_stoyka_cezares_nostalgia_nostalgia_cd_03_24_m/;NOSTALGIA-CD-03/24-M;Cezares;Главная @ Душевые системы @ Душевые стойки ;Nostalgia;Душевая стойка;Для душа;Двухвентильное;На стену;200;1290;455;Латунь;Модерн;Золото;3;;;;Да;Есть;Есть;01.фев;1500;1500;Италия;Да;;;Нет;200;6;
Душевой гарнитур Cezares Nostalgia SD-03/24-M;https://www.aquanet.ru/product/dushevoy_garnitur_cezares_nostalgia_nostalgia_sd_03_24_m/;NOSTALGIA-SD-03/24-M;Cezares;Главная @ Душевые системы @ Душевые гарнитуры ;Nostalgia;Душевой гарнитур;Для душа;;На стену;120;620;117;Латунь;Модерн;Золото;2;;;;Нет;Есть;;;1500;1500;Италия;;;;;;4;
Душевой гарнитур Cezares Olimp SD-01;https://www.aquanet.ru/product/dushevoy_garnitur_cezares_olimp_olimp_sd_01/;OLIMP-SD-01;Cezares;Главная @ Душевые системы @ Душевые гарнитуры ;Olimp;Душевой гарнитур;Для душа;;На стену;140;715;90;Латунь;Модерн;Хром;2;;;;Нет;Есть;;;1500;1500;Италия;;;;;;4;
Душевой гарнитур Cezares Nostalgia SD-02-M;https://www.aquanet.ru/product/dushevoy_garnitur_cezares_nostalgia_nostalgia_sd_02_m/;NOSTALGIA-SD-02-M;Cezares;Главная @ Душевые системы @ Душевые гарнитуры ;Nostalgia;Душевой гарнитур;Для душа;;На стену;120;620;117;Латунь;Модерн;Бронза;2;;;;Нет;Есть;;;1500;1500;Италия;;;;;;4;
Душевая стойка Cezares Vintage CD-T-02-Sw;https://www.aquanet.ru/product/dushevaya_stoyka_cezares_vintage_vintage_cd_t_02_sw/;VINTAGE-CD-T-02-Sw;Cezares;Главная @ Душевые системы @ Душевые стойки ;Vintage;Душевая стойка;Для душа;Термостат;На стену;200;1250;455;Латунь;Модерн;Бронза;2;;;;Да;Есть;Есть;01.фев;1500;1500;Италия;Да;;;Да;200;6;
Душевой гарнитур Cezares Nostalgia SD-03/24-Bi;https://www.aquanet.ru/product/dushevoy_garnitur_cezares_nostalgia_nostalgia_sd_03_24_bi/;NOSTALGIA-SD-03/24-Bi;Cezares;Главная @ Душевые системы @ Душевые гарнитуры ;Nostalgia;Душевой гарнитур;Для душа;;На стену;120;620;117;Латунь;Модерн;Золото;2;;;;Нет;Есть;;;1500;1500;Италия;;;;;;4;
Душевой гарнитур Cezares Vintage SD-03/24-Sw-N;https://www.aquanet.ru/product/dushevoy_garnitur_cezares_vintage_vintage_sd_03_24_sw_n/;VINTAGE-SD-03/24-Sw-N;Cezares;Главная @ Душевые системы @ Душевые гарнитуры ;Vintage;Душевой гарнитур;Для душа;;На стену;120;715;117;Латунь;Модерн;Золото;2;;;;Нет;Есть;;;1500;1500;Италия;;;;;;4;
Душевая стойка Cezares Vintage CAE-02-M;https://www.aquanet.ru/product/dushevaya_stoyka_cezares_vintage_vintage_cae_02_m/;VINTAGE-CAE-02-M;Cezares;Главная @ Душевые системы @ Душевые стойки ;Vintage;Душевая стойка;Для душа;;На стену;200;1268;455;Латунь;Модерн;Бронза;2;;;;Нет;Есть;Есть;01.фев;1500;1500;Италия;Да;;;Нет;200;6;
Душевой гарнитур Cezares Olimp SD-03/24;https://www.aquanet.ru/product/dushevoy_garnitur_cezares_olimp_olimp_sd_03_24/;OLIMP-SD-03/24;Cezares;Главная @ Душевые системы @ Душевые гарнитуры ;Olimp;Душевой гарнитур;Для душа;;На стену;140;715;90;Латунь;Модерн;Золото;2;;;;Нет;Есть;;;1500;1500;Италия;;;;;;4;
Душевая стойка Cezares Margot CVF-BLC;https://www.aquanet.ru/product/dushevaya_stoyka_cezares_margot_margot_cvf_blc/;MARGOT-CVF-BLC;Cezares;Главная @ Душевые системы @ Душевые стойки ;Margot;Душевая стойка;Для душа;Двухвентильное;На стену;210;1268;455;Латунь;Модерн;Хром/белый;3;Поворотный;Традиционная;285;Да;Нет;Нет;01.фев;;;Италия;;;;Нет;;6;
Душевой гарнитур Cezares Olimp KD-03/24;https://www.aquanet.ru/product/dushevoy_garnitur_cezares_olimp_olimp_kd_03_24/;OLIMP-KD-03/24;Cezares;Главная @ Душевые системы @ Душевые гарнитуры ;Olimp;Душевой гарнитур;Для душа;;На стену;75;;257;Латунь;Модерн;Золото;1;;;;Нет;Есть;;;1500;1500;Италия;;;;;;4;
Душевая стойка Cezares Margot C-BLC;https://www.aquanet.ru/product/dushevaya_stoyka_cezares_margot_margot_c_blc/;MARGOT-C-BLC;Cezares;Главная @ Душевые системы @ Душевые стойки ;Margot;Душевая стойка;Для душа;Однорычажное;На стену;;1250;;Латунь;Модерн;Хром/белый;3;;;;Да;Нет;Нет;01.фев;;;Италия;;;;Нет;;6;
Душевая стойка Cezares Retro C-CVD1-03;https://www.aquanet.ru/product/dushevaya_stoyka_cezares_retro_retro_c_cvd1_03/;RETRO-C-CVD1-03;Cezares;Главная @ Душевые системы @ Душевые стойки ;Retro;Душевая стойка;Для душа;Двухвентильное;На стену;200;1260;400;Латунь;Модерн;Золото;3;Фиксированный;Традиционная;141;Да;Есть;Есть;01.фев;1500;1500;Италия;Да;;;Нет;200;6;
Душевая стойка Cezares Lira C-CD-BLC;https://www.aquanet.ru/product/dushevaya_stoyka_cezares_lira_lira_c_cd_blc/;LIRA-C-CD-BLC;Cezares;Главная @ Душевые системы @ Душевые стойки ;Lira;Душевая стойка;Для душа;Однорычажное;На стену;180;1260;420;Латунь;Модерн;Белый;3;;;380;Да;Есть;Есть;01.фев;;;Италия;Да;;;Нет;;6;
Душевая стойка Cezares Retro C-CVD1-02;https://www.aquanet.ru/product/dushevaya_stoyka_cezares_retro_retro_c_cvd1_02/;RETRO-C-CVD1-02;Cezares;Главная @ Душевые системы @ Душевые стойки ;Retro;Душевая стойка;Для душа;Двухвентильное;На стену;200;1260;400;Латунь;Модерн;Бронза;3;Фиксированный;Традиционная;141;Да;Есть;Есть;01.фев;1500;1500;Италия;Да;;;Нет;200;6;
Душевой гарнитур Cezares Olimp KD-02;https://www.aquanet.ru/product/dushevoy_garnitur_cezares_olimp_olimp_kd_02/;OLIMP-KD-02;Cezares;Главная @ Душевые системы @ Душевые гарнитуры ;Olimp;Душевой гарнитур;Для душа;;На стену;75;;257;Латунь;Модерн;Бронза;1;;;;Нет;Есть;;;1500;1500;Италия;;;;;;4;
