Наименование;URL;Артикул;Бренд;Path;Коллекция;Тип;Назначение;Управление;Установка;Ширина;Высота;Глубина;Материал;Дизайн;Цвет;Количество монтажных отверстий;Тип излива;Форма излива;Длина излива;Смеситель в комплекте;Ручной душ;Шланг в комплекте;Стандарт подводки;Длина шланга;Верхний душ в комплекте;Страна производителя;Тропический душ в комплекте;Количество режимов душа;Диаметр лейки;Термостат;Размер верхнего душа;Вес;Количество режимов верхнего душа
Штанга для душа Timo SR-7021 chrome;https://www.aquanet.ru/product/shtanga_dlya_dusha_timo_sr_7021_chrome/;SR-7021 chrome;Timo;Главная @ Душевые системы @ Штанги для душа ;;Штанга для душа;Для душа;;На стену;;;;Пластик;Модерн;Хром;2;;;;;;;;;;Финляндия;;;;;;0.63;
Душевой гарнитур Grohe Tempesta New 27598001;https://www.aquanet.ru/product/dushevoy_garnitur_grohe_tempesta_new_27598001/;27598001;Grohe;Главная @ Душевые системы @ Душевые гарнитуры ;Tempesta New;Душевой гарнитур;Для душа;;На стену;140;620;;Латунь/пластик;Модерн;Хром;2;;;;Нет;Есть;;;1750;1750;Германия;;;;;;янв.13;
Душевая стойка Timo Beverly SX-1060/00;https://www.aquanet.ru/product/dushevaya_stoyka_timo_beverly_sx_1060_00/;SX-1060/00;Timo;Главная @ Душевые системы @ Душевые стойки ;Beverly;Душевая стойка;Для душа;Однорычажное;На стену;260;1400;;Латунь;Модерн;Хром;3;Фиксированный;Традиционная;;Да;Есть;Есть;01.фев;;;Финляндия;Да;;;Нет;260;июн.59;
Душевая стойка Grohe Rainshower SmartControl 26250000;https://www.aquanet.ru/product/dushevaya_stoyka_grohe_rainshower_smartcontrol_26250000/;26250000;Grohe;Главная @ Душевые системы @ Душевые стойки ;Rainshower SmartControl;Душевая стойка;Для душа;Термостат;На стену;361;1126;610;Латунь/пластик;Модерн;Хром;3;;;;Да;Есть;Есть;01.фев;1750;1750;Германия;Да;;;Да;361;окт.84;
Штанга для душа Ravak Chrome X07P013;https://www.aquanet.ru/product/shtanga_dlya_dusha_ravak_chrome_x07p013/;X07P013;Ravak;Главная @ Душевые системы @ Штанги для душа ;Chrome;Штанга для душа;Для душа;;На стену;82;700;54;Латунь/пластик;Модерн;Хром;2;;;;;;;;;;Чехия;;;;;;01.май;
Душевая стойка Ravak Termo TE 092.00/150 X070098;https://www.aquanet.ru/product/dushevaya_stoyka_ravak_termo_te_092_00_150_x070098/;X070098;Ravak;Главная @ Душевые системы @ Душевые стойки ;Termo;Душевая стойка;Для душа;Термостат;На стену;296;1600;;Латунь;Модерн;Хром;3;;;;Да;Есть;Есть;01.фев;;;Чехия;Да;;;Да;250;10;
Гигиенический душ Grohe Sena 26332000;https://www.aquanet.ru/product/gigienicheskiy_dush_grohe_sena_26332000/;26332000;Grohe;Главная @ Душевые системы @ Гигиенический душ ;Sena;Гигиенический душ;Для унитаза;;На стену;65;158;;Алюминий/пластик;Модерн;Хром;;;;;;;Есть;01.фев;1250;1250;Германия;;;;;;0.99;
Душевая стойка Ravak 10° TD 091.00/150 X070103;https://www.aquanet.ru/product/dushevaya_stoyka_ravak_10_td_091_00_150_x070103/;X070103;Ravak;Главная @ Душевые системы @ Душевые стойки ;10°;Душевая стойка;Для душа;Термостат;На стену;292;1335;;Латунь;Модерн;Хром;3;;;;Да;Есть;Есть;01.фев;;;Чехия;Да;;;Да;250;10;
Шланг для душа Lemark LE8037B;https://www.aquanet.ru/product/shlang_dlya_dusha_lemark_le8037b/;LE8037B;Lemark;Главная @ Душевые системы @ Шланги для душа ;;Гибкий шланг для душа;Для душа / Для гигиенического душа;;;;;;Латунь;;Хром;;;;;;;;01.фев;;;Чехия;;;;;;0.34;
Душевая стойка Ravak Termo TE 093.00/150 X070099;https://www.aquanet.ru/product/dushevaya_stoyka_ravak_termo_te_093_00_150_x070099/;X070099;Ravak;Главная @ Душевые системы @ Душевые стойки ;Termo;Душевая стойка;Для душа;Термостат;На стену;296;1295;;Латунь;Модерн;Хром;3;;;;Да;Есть;Есть;01.фев;;;Чехия;Да;;;Да;250;10;
Гигиеническая лейка Grohe Tempesta-F 27512001;https://www.aquanet.ru/product/gigienicheskaya_leyka_grohe_tempesta_f_27512001/;27512001;Grohe;Главная @ Душевые системы @ Гигиенические лейки ;Tempesta-F;Гигиеническая лейка;Для унитаза;;На шланг;36;162;;Пластик;Модерн;Хром;;;;;;;Нет;01.фев;;;Германия;;;;;;0.13;
Душевая стойка Ravak DS 090.00 X07P232;https://www.aquanet.ru/product/dushevaya_stoyka_ravak_ds_090_00_x07p232/;X07P232;Ravak;Главная @ Душевые системы @ Душевые стойки ;DS;Душевая стойка;Для душа;;На стену;200;1350;550;Латунь;Модерн;Хром;2;;;;Нет;Есть;Есть;01.фев;;;Чехия;Да;;;;200;10;
Штанга для душа Ravak Chrome X07P014;https://www.aquanet.ru/product/shtanga_dlya_dusha_ravak_chrome_x07p014/;X07P014;Ravak;Главная @ Душевые системы @ Штанги для душа ;Chrome;Штанга для душа;Для душа;;На стену;125;910;60;Латунь;Модерн;Хром;2;;;;;;;;;;Чехия;;;;;;01.май;
Шланг для душа Grohe Relexaflex 28158000;https://www.aquanet.ru/product/shlang_dlya_dusha_grohe_relexaflex_28158000/;28158000;Grohe;Главная @ Душевые системы @ Шланги для душа ;Relexaflex;Гибкий шланг для душа;Для душа;;;;;;Алюминий;;Хром;;;;;;;;03.авг;;;Германия;;;;;;0.57;
Душевая лейка Jacob Delafon Nouvelle Vague E27796-BLV;https://www.aquanet.ru/product/dushevaya_leyka_jacob_delafon_nouvelle_vague_e27796_blv/;E27796-BLV;Jacob Delafon;Главная @ Душевые системы @ Душевые лейки ;Nouvelle Vague;Душевая лейка;Для душа;;На шланг;110;237;;Пластик;Модерн;Серый/черный матовый;;;;;;;Нет;01.фев;;;Италия;;;;;;;
Гигиенический душ Grohe Tempesta-F 27812IL1;https://www.aquanet.ru/product/gigienicheskiy_dush_grohe_tempesta_f_27812il1/;27812IL1;Grohe;Главная @ Душевые системы @ Гигиенический душ ;Tempesta-F;Гигиенический душ;Для унитаза;;На стену;;;;Латунь/пластик;Модерн;Белый;;;;;;;Есть;01.фев;1250;1250;Германия;;;;;;0.42;
Верхний душ Grohe Relexa Plus 28190000;https://www.aquanet.ru/product/verkhniy_dush_grohe_relexa_plus_28190000/;28190000;Grohe;Главная @ Душевые системы @ Верхние души ;Relexa Plus;Верхний душ;Для душа;;На стену;80;80;169;Латунь/пластик;Модерн;Хром;;;;;;;;01.фев;;;Германия;Нет;;;;80;0.63;
Душевой гарнитур Grohe Euphoria 27227001;https://www.aquanet.ru/product/dushevoy_garnitur_grohe_euphoria_27227001/;27227001;Grohe;Главная @ Душевые системы @ Душевые гарнитуры ;Euphoria;Душевой гарнитур;Для душа;;На стену;110;920;112;Нержавеющая сталь;Модерн;Хром;2;;;;Нет;Есть;;;1750;1750;Германия;;;;;;янв.52;
Душевая лейка Ravak Tuman X07P233;https://www.aquanet.ru/product/dushevaya_leyka_ravak_tuman_x07p233/;X07P233;Ravak;Главная @ Душевые системы @ Душевые лейки ;Tuman;Душевая лейка;Для душа;;На шланг;120;260;;Металл/пластик;Модерн;Хром;;;;;;;Нет;01.фев;;;Чехия;;;;;;1;
Душевая лейка Ravak Chrome X07P007;https://www.aquanet.ru/product/dushevaya_leyka_ravak_chrome_x07p007/;X07P007;Ravak;Главная @ Душевые системы @ Душевые лейки ;Chrome;Душевая лейка;Для душа;;На шланг;26;213;;Пластик;Модерн;Хром;;;;;;;Нет;01.фев;;;Чехия;;;;;;1;
Душевая лейка Ravak X07P348;https://www.aquanet.ru/product/dushevaya_leyka_ravak_x07p348/;X07P348;Ravak;Главная @ Душевые системы @ Душевые лейки ;;Душевая лейка;Для душа;;На шланг;120;252;;Пластик;Модерн;Хром;;;;;;;Нет;01.фев;;;Чехия;;;;;;1;
Душевой гарнитур Ravak X07S003;https://www.aquanet.ru/product/dushevoy_garnitur_ravak_x07s003/;X07S003;Ravak;Главная @ Душевые системы @ Душевые гарнитуры ;;Душевой гарнитур;Для душа;;На стену;;600;;Латунь/пластик;Модерн;Хром;2;;;;Нет;Есть;;;1500;1500;Чехия;;;;;;2;
Душевой гарнитур Ravak X07S002;https://www.aquanet.ru/product/dushevoy_garnitur_ravak_x07s002/;X07S002;Ravak;Главная @ Душевые системы @ Душевые гарнитуры ;;Душевой гарнитур;Для душа;;На стену;;700;;Латунь;Модерн;Хром;2;;;;Нет;Есть;;;1500;1500;Чехия;;;;;;2;
Душевая лейка Ravak X07P349;https://www.aquanet.ru/product/dushevaya_leyka_ravak_x07p349/;X07P349;Ravak;Главная @ Душевые системы @ Душевые лейки ;;Душевая лейка;Для душа;;На шланг;120;252;;Пластик;Модерн;Белый;;;;;;;Нет;01.фев;;;Чехия;;;;;;1;
Верхний душ Ravak ABS X07P347;https://www.aquanet.ru/product/verkhniy_dush_ravak_abs_x07p347/;X07P347;Ravak;Главная @ Душевые системы @ Верхние души ;ABS;Верхний душ;Для душа;;На потолок / На стену;250;63;250;Пластик;Модерн;Хром;;;;;;;;01.фев;;;Чехия;Да;;;;250;2;
Шланг для душа Ravak SatinFlex X07P337;https://www.aquanet.ru/product/shlang_dlya_dusha_ravak_satinflex_x07p337/;X07P337;Ravak;Главная @ Душевые системы @ Шланги для душа ;;Гибкий шланг для душа;Для душа;;;;;;Пластик;;Хром;;;;;;;;01.фев;;;Чехия;;;;;;1;
Душевая лейка Ravak Flat XXL X07P344;https://www.aquanet.ru/product/dushevaya_leyka_ravak_flat_xxl_x07p344/;X07P344;Ravak;Главная @ Душевые системы @ Душевые лейки ;Flat;Душевая лейка;Для душа;;На шланг;140;292;;Пластик;Модерн;Хром;;;;;;;Нет;01.фев;;;Чехия;;;;;;1;
Душевой гарнитур Ravak X07S006;https://www.aquanet.ru/product/dushevoy_garnitur_ravak_x07s006/;X07S006;Ravak;Главная @ Душевые системы @ Душевые гарнитуры ;;Душевой гарнитур;Для душа;;На стену;118;;;Латунь;Модерн;Хром;1;;;;Нет;Есть;;;1500;1500;Чехия;;;;;;2;
Душевой гарнитур Ravak X07P177;https://www.aquanet.ru/product/dushevoy_garnitur_ravak_x07p177/;X07P177;Ravak;Главная @ Душевые системы @ Душевые гарнитуры ;;Душевой гарнитур;Для душа;;На стену;125;635;;Латунь;Модерн;Хром;2;;;;Нет;Есть;;;1500;1500;Чехия;;;;;;4;
Душевая лейка Ravak X07P351;https://www.aquanet.ru/product/dushevaya_leyka_ravak_x07p351/;X07P351;Ravak;Главная @ Душевые системы @ Душевые лейки ;;Душевая лейка;Для душа;;На шланг;120;252;;Пластик;Модерн;Белый;;;;;;;Нет;01.фев;;;Чехия;;;;;;1;
Шланг для душа Ravak SatinFlex X07P176;https://www.aquanet.ru/product/shlang_dlya_dusha_ravak_satinflex_x07p176/;X07P176;Ravak;Главная @ Душевые системы @ Шланги для душа ;;Гибкий шланг для душа;Для душа;;;;;;Пластик;;Хром;;;;;;;;01.фев;;;Чехия;;;;;;0.7;
Душевой гарнитур Ravak X07S010;https://www.aquanet.ru/product/dushevoy_garnitur_ravak_x07s010/;X07S010;Ravak;Главная @ Душевые системы @ Душевые гарнитуры ;;Душевой гарнитур;Для душа;;На стену;120;;;Латунь;Модерн;Хром;1;;;;Нет;Есть;;;1500;1500;Чехия;;;;;;2;
Душевой гарнитур Grohe Euphoria 27230001;https://www.aquanet.ru/product/dushevoy_garnitur_grohe_euphoria_27230001/;27230001;Grohe;Главная @ Душевые системы @ Душевые гарнитуры ;Euphoria;Душевой гарнитур;Для душа;;На стену;115;620;112;Нержавеющая сталь;Модерн;Хром;2;;;;Нет;Есть;;;1750;1750;Германия;;;;;;янв.37;
Душевая панель VitrA System 06 56650001000;https://www.aquanet.ru/product/dushevaya_panel_vitra_system_06_56650001000/;56650001000;VitrA;Главная @ Душевые системы @ Душевые панели ;System 06;Душевая панель;Для душа;Однорычажное;;220;1600;510;Латунь;Модерн;Хром;;;;;;Есть;;;;;Турция;Да;;;Нет;;13;
Верхний душ Ravak X07P015;https://www.aquanet.ru/product/verkhniy_dush_ravak_x07p015/;X07P015;Ravak;Главная @ Душевые системы @ Верхние души ;;Верхний душ;Для душа;;На потолок / На стену;200;57;200;Латунь;Модерн;Хром;;;;;;;;01.фев;;;Чехия;Нет;;;;200;2;
Душевая лейка Ravak X07P008;https://www.aquanet.ru/product/dushevaya_leyka_ravak_x07p008/;X07P008;Ravak;Главная @ Душевые системы @ Душевые лейки ;;Душевая лейка;Для душа;;На шланг;99;238;;Пластик;Модерн;Хром;;;;;;;Нет;01.фев;;;Чехия;;;;;;1;
Душевая лейка Ravak X07P114;https://www.aquanet.ru/product/dushevaya_leyka_ravak_x07p114/;X07P114;Ravak;Главная @ Душевые системы @ Душевые лейки ;;Душевая лейка;Для душа;;На шланг;36;216;;Пластик;Модерн;Хром;;;;;;;Нет;01.фев;;;Чехия;;;;;;1;
Душевая лейка Ravak Flat S X07P343;https://www.aquanet.ru/product/dushevaya_leyka_ravak_flat_s_x07p343/;X07P343;Ravak;Главная @ Душевые системы @ Душевые лейки ;Flat;Душевая лейка;Для душа;;На шланг;100;273;;Пластик;Модерн;Хром;;;;;;;Нет;01.фев;;;Чехия;;;;;;1;
Гигиеническая лейка Grohe Tempesta-F 28020L01;https://www.aquanet.ru/product/gigienicheskaya_leyka_grohe_tempesta_f_28020l01/;28020L01;Grohe;Главная @ Душевые системы @ Гигиенические лейки ;Tempesta-F;Гигиеническая лейка;Для унитаза;;На стену;;;;Латунь/пластик;Модерн;Белый;;;;;;;Нет;01.фев;;;Германия;;;;;;0.13;
Шланг для душа Ravak X07P340;https://www.aquanet.ru/product/shlang_dlya_dusha_ravak_x07p340/;X07P340;Ravak;Главная @ Душевые системы @ Шланги для душа ;;Гибкий шланг для душа;Для душа;;;;;;Металл;;Хром;;;;;;;;01.фев;;;Чехия;;;;;;1;
Шланг для душа Ravak X07P065;https://www.aquanet.ru/product/shlang_dlya_dusha_ravak_x07p065/;X07P065;Ravak;Главная @ Душевые системы @ Шланги для душа ;;Гибкий шланг для душа;Для душа;;;;;;Пластик;;Хром;;;;;;;;01.фев;;;Чехия;;;;;;0.6;
Душевой гарнитур Ravak X07P005;https://www.aquanet.ru/product/dushevoy_garnitur_ravak_x07p005/;X07P005;Ravak;Главная @ Душевые системы @ Душевые гарнитуры ;;Душевой гарнитур;Для душа;;На стену;68;200;;Латунь;Модерн;Хром;1;;;;Нет;Есть;;;1500;1500;Чехия;;;;;;4;
Шланг для душа Ravak SilverShine X07P338;https://www.aquanet.ru/product/shlang_dlya_dusha_ravak_silvershine_x07p338/;X07P338;Ravak;Главная @ Душевые системы @ Шланги для душа ;;Гибкий шланг для душа;Для душа;;;;;;Пластик;;Хром;;;;;;;;01.фев;;;Чехия;;;;;;1;
Шланг для душа Ravak X07P006;https://www.aquanet.ru/product/shlang_dlya_dusha_ravak_x07p006/;X07P006;Ravak;Главная @ Душевые системы @ Шланги для душа ;;Гибкий шланг для душа;Для душа;;;;;;Нержавеющая сталь;;Хром;;;;;;;;01.фев;;;Чехия;;;;;;0.7;
Душевая лейка Ravak X07P009;https://www.aquanet.ru/product/dushevaya_leyka_ravak_x07p009/;X07P009;Ravak;Главная @ Душевые системы @ Душевые лейки ;;Душевая лейка;Для душа;;На шланг;118;245;;Пластик;Модерн;Хром;;;;;;;Нет;01.фев;;;Чехия;;;;;;1;
Шланг для душа Grohe Relexa 28140000;https://www.aquanet.ru/product/shlang_dlya_dusha_grohe_relexa_28140000/;28140000;Grohe;Главная @ Душевые системы @ Шланги для душа ;Relexa;Гибкий шланг для душа;Для душа;;;;;;Алюминий;;Хром;;;;;;;;01.фев;;;Германия;;;;;;0.45;
Душевая стойка VitrA System Rain A49234EXP;https://www.aquanet.ru/product/dushevaya_stoyka_vitra_system_rain_a49234exp/;A49234EXP;VitrA;Главная @ Душевые системы @ Душевые стойки ;System Rain;Душевая стойка;Для душа;Однорычажное;На стену;185;1220;547;Латунь;Модерн;Хром;4;;;;Да;Есть;Есть;01.фев;1750;1750;Турция;Да;;;Нет;195;05.май;
Гигиенический душ VitrA A45534;https://www.aquanet.ru/product/gigienicheskiy_dush_vitra_a45534exp/;A45534;VitrA;Главная @ Душевые системы @ Гигиенический душ ;;Гигиенический душ;Для унитаза;;На стену;21;115;;Пластик/латунь;Модерн;Хром;;;;;;;Есть;01.фев;1200;1200;Турция;;;;;;0.49;
Душевой гарнитур VitrA Samba 3F A45680WSA;https://www.aquanet.ru/product/dushevoy_garnitur_vitra_samba_3f_a45680wsa/;A45680WSA;VitrA;Главная @ Душевые системы @ Душевые гарнитуры ;Samba;Душевой гарнитур;Для душа;;На стену;142;640;140;Латунь;Модерн;Хром;2;;;;Нет;Есть;;;2250;2250;Турция;;;;;;5;
Душевая стойка VitrA Samba A45597EXP;https://www.aquanet.ru/product/dushevaya_stoyka_vitra_samba_a45597exp/;A45597EXP;VitrA;Главная @ Душевые системы @ Душевые стойки ;Samba;Душевая стойка;Для душа;;На стену;185;1150;545;Латунь;Модерн;Хром;3;;;;Нет;Есть;Есть;01.фев;2250;2250;Турция;Да;;;Нет;185;03.сен;
Душевой гарнитур VitrA Samba 5F A45655EXP;https://www.aquanet.ru/product/dushevoy_garnitur_vitra_samba_5f_a45655exp/;A45655EXP;VitrA;Главная @ Душевые системы @ Душевые гарнитуры ;Samba;Душевой гарнитур;Для душа;;На стену;115;675;194;Латунь;Модерн;Хром;3;;;;Нет;Есть;;;1750;1750;Турция;;;;;;янв.43;
Душевой гарнитур VitrA Cozy 5F A45682EXP;https://www.aquanet.ru/product/dushevoy_garnitur_vitra_cozy_5f_a45682exp/;A45682EXP;VitrA;Главная @ Душевые системы @ Душевые гарнитуры ;Cozy;Душевой гарнитур;Для душа;;На стену;115;675;129;Латунь;Модерн;Хром;3;;;;Нет;Есть;;;2250;2250;Турция;;;;;;01.мар;
Верхний душ VitrA Rain A45708WSA;https://www.aquanet.ru/product/verkhniy_dush_vitra_rain_a45633exp/;A45708WSA;VitrA;Главная @ Душевые системы @ Верхние души ;Rain;Верхний душ;Для душа;;На потолок;185;58;185;Латунь / Пластик;Модерн;Хром;;;;;;;;01.фев;;;Турция;Нет;;;;185;0.65;
Шланг для душа Hansgrohe Comfortflex 28168000;https://www.aquanet.ru/product/shlang_dlya_dusha_hansgrohe_comfortflex_28168000/;28168000;Hansgrohe;Главная @ Душевые системы @ Шланги для душа ;Comfortflex;Гибкий шланг для душа;Для душа;;;;;;Пластик;;Хром;;;;;;;;01.фев;;;Германия;;;;;;0.339;
Душевой гарнитур Lemark LM0802C;https://www.aquanet.ru/product/dushevoy_garnitur_lemark_lm0802c/;LM0802C;Lemark;Главная @ Душевые системы @ Душевые гарнитуры ;;Душевой гарнитур;Для душа;;На стену;;;;Нержавеющая сталь/пластик;Модерн;Хром;1;;;;Нет;Есть;;;1500;1500;Китай;;;;;;0.5;
Гигиеническая лейка Lemark LM8059C;https://www.aquanet.ru/product/gigienicheskaya_leyka_lemark_lm8059c/;LM8059C;Lemark;Главная @ Душевые системы @ Гигиенические лейки ;;Гигиеническая лейка;Для унитаза;;На шланг;;;;Пластик;Модерн;Хром;;;;;;;Нет;01.фев;;;Китай;;;;;;0.25;
Штанга для душа Lemark LM8071C;https://www.aquanet.ru/product/shtanga_dlya_dusha_lemark_lm8071c/;LM8071C;Lemark;Главная @ Душевые системы @ Штанги для душа ;;Штанга для душа;Для душа;;На стену;;740;;Нержавеющая сталь/пластик;Модерн;Хром;2;;;;;;;;;;Китай;;;;;;0.84;
Душевая стойка Lemark Jasmine LM6662ORB;https://www.aquanet.ru/product/dushevaya_stoyka_lemark_jasmine_lm6662orb/;LM6662ORB;Lemark;Главная @ Душевые системы @ Душевые стойки ;Jasmine;Душевая стойка;Для ванны с душем;Однорычажное;На стену;;;;Латунь;Модерн;Черная бронза;3;Поворотный;Традиционная;115;Да;Есть;Есть;01.фев;1500;1500;Китай;Да;;;Нет;198;08.май;
Штанга для душа Lemark LM8062C;https://www.aquanet.ru/product/shtanga_dlya_dusha_lemark_lm8062c/;LM8062C;Lemark;Главная @ Душевые системы @ Штанги для душа ;;Штанга для душа;Для душа;;На стену;;685;;Нержавеющая сталь/пластик;Модерн;Хром;2;;;;;;;;;;Чехия;;;;;;0.5;
Штанга для душа Lemark LM8063C;https://www.aquanet.ru/product/shtanga_dlya_dusha_lemark_lm8063c/;LM8063C;Lemark;Главная @ Душевые системы @ Штанги для душа ;;Штанга для душа;Для душа;;На стену;;685;;Нержавеющая сталь/пластик;Модерн;Хром;2;;;;;;;;;;Чехия;;;;;;0.38;
Гигиенический душ Lemark LM8014C;https://www.aquanet.ru/product/gigienicheskiy_dush_lemark_lm8014c/;LM8014C;Lemark;Главная @ Душевые системы @ Гигиенический душ ;;Гигиенический душ;Для унитаза;;На стену;;160;;Нержавеющая сталь/пластик;Модерн;Хром;;;;;;;Есть;01.фев;1500;1500;Китай;;;;;;0.4;
Верхний душ Axor Starck 28494000;https://www.aquanet.ru/product/verkhniy_dush_axor_starck_28494000/;28494000;Axor;Главная @ Душевые системы @ Верхние души ;Starck;Верхний душ;Для душа;;На потолок / На стену;240;60;240;Металл;Модерн;Хром;;;;;;;;01.фев;;;Германия;Да;;;;240;1.628;
Душевой гарнитур Axor Starck Organic 12626000;https://www.aquanet.ru/product/dushevoy_garnitur_axor_starck_organic_12626000/;12626000;Axor;Главная @ Душевые системы @ Душевые гарнитуры ;Starck Organic;Душевой гарнитур;Для душа;;На стену;;;;Латунь;Модерн;Хром;1;;;;Нет;Есть;;;1250;1250;Германия;;;;;;02.июл;
Штанга для душа Lemark LM8069C;https://www.aquanet.ru/product/shtanga_dlya_dusha_lemark_lm8069c/;LM8069C;Lemark;Главная @ Душевые системы @ Штанги для душа ;;Штанга для душа;Для душа;;На стену;;640;;Нержавеющая сталь/пластик;Модерн;Хром;2;;;;;;;;;;Китай;;;;;;0.7;
Душевой гарнитур Axor Shower Collection 10651000;https://www.aquanet.ru/product/dushevoy_garnitur_axor_shower_collection_10651000/;10651000;Axor;Главная @ Душевые системы @ Душевые гарнитуры ;Shower Collection;Душевой гарнитур;Для душа;;На стену;120;232;100;Латунь;Модерн;Хром;1;;;;Нет;Есть;;;1250;1250;Германия;;;;;;3.795;
Верхний душ Lemark LM8044C;https://www.aquanet.ru/product/verkhniy_dush_lemark_lm8044c/;LM8044C;Lemark;Главная @ Душевые системы @ Верхние души ;;Верхний душ;Для душа;;На потолок / На стену;303;;152;Пластик;Модерн;Хром;;;;;;;;01.фев;;;Китай;Нет;;;;;05.май;
Душевая стойка Lemark Poseidon LM4262C;https://www.aquanet.ru/product/dushevaya_stoyka_lemark_poseidon_lm4262c/;LM4262C;Lemark;Главная @ Душевые системы @ Душевые стойки ;Poseidon;Душевая стойка;Для ванны с душем;Однорычажное;На стену;;1843;;Латунь;Модерн;Хром;3;Поворотный;Традиционная;;Да;Есть;Есть;01.фев;1500;1500;Чехия;Да;;;Нет;;июн.25;
Штанга для душа Lemark LM8064C;https://www.aquanet.ru/product/shtanga_dlya_dusha_lemark_lm8064c/;LM8064C;Lemark;Главная @ Душевые системы @ Штанги для душа ;;Штанга для душа;Для душа;;На стену;;685;;Нержавеющая сталь/пластик;Модерн;Хром;2;;;;;;;;;;Чехия;;;;;;0.56;
Душевая стойка Lemark LM8803C;https://www.aquanet.ru/product/dushevaya_stoyka_lemark_lm8803c/;LM8803C;Lemark;Главная @ Душевые системы @ Душевые стойки ;;Душевая стойка;Для душа;;На стену;;1248;;Пластик / Сталь;Модерн;Хром;2;;;;Нет;Есть;Есть;01.фев;1500;1500;Китай;Да;;;;250;03.апр;
Душевая стойка Lemark Tropic LM7007C;https://www.aquanet.ru/product/dushevaya_stoyka_lemark_tropic_lm7007s/;LM7007C;Lemark;Главная @ Душевые системы @ Душевые стойки ;Tropic;Душевая стойка;Для ванны с душем;Однорычажное;На стену;520;1850;;Латунь / Пластик;Модерн;Хром/белый;3;;Традиционная;;Да;Есть;Есть;01.фев;1500;1500;Чехия;Да;;;Нет;230;май.96;
Душевой гарнитур Lemark LM8067C;https://www.aquanet.ru/product/dushevoy_garnitur_lemark_lm8067c/;LM8067C;Lemark;Главная @ Душевые системы @ Душевые гарнитуры ;;Душевой гарнитур;Для душа;;На стену;;685;;Нержавеющая сталь/пластик;Модерн;Хром;2;;;;Нет;Есть;;;1500;1500;Чехия;;;;;;0.75;
Верхний душ Lemark LM8036C;https://www.aquanet.ru/product/verkhniy_dush_lemark_lm8036c/;LM8036C;Lemark;Главная @ Душевые системы @ Верхние души ;;Верхний душ;Для душа;;На потолок / На стену;250;;250;Пластик;Модерн;Хром;;;;;;;;01.фев;;;Китай;Нет;;;;250;0.8;
Душевая стойка Lemark LM8808C;https://www.aquanet.ru/product/dushevaya_stoyka_lemark_lm8808c/;LM8808C;Lemark;Главная @ Душевые системы @ Душевые стойки ;;Душевая стойка;Для душа;;На стену;;1000;;Пластик / Сталь;Модерн;Хром/белый;2;;;;Нет;Есть;Есть;01.фев;1500;1500;Китай;Да;;;;200;03.мар;
Душевая лейка Axor Montreux 16320820;https://www.aquanet.ru/product/dushevaya_leyka_axor_montreux_16320820/;16320820;Axor;Главная @ Душевые системы @ Душевые лейки ;Montreux;Душевая лейка;Для душа;;На шланг;106;252;;Латунь;Ретро;Никель;;;;;;;Нет;01.фев;;;Германия;;;;;;0.645;
Душевая стойка Lemark Tropic LM7005C;https://www.aquanet.ru/product/dushevaya_stoyka_lemark_tropic_lm7005s/;LM7005C;Lemark;Главная @ Душевые системы @ Душевые стойки ;Tropic;Душевая стойка;Для ванны с душем;Однорычажное;На стену;;1717;;Латунь;Модерн;Хром;3;;;;Да;Есть;Есть;01.фев;1500;1500;Чехия;Да;;;Нет;;7;
Душевая стойка Lemark Tropic LM7003C;https://www.aquanet.ru/product/dushevaya_stoyka_lemark_tropic_lm7003s/;LM7003C;Lemark;Главная @ Душевые системы @ Душевые стойки ;Tropic;Душевая стойка;Для ванны с душем;Однорычажное;На стену;420;1850;;Латунь / Пластик;Модерн;Хром;3;;Традиционная;;Да;Есть;Есть;01.фев;1500;1500;Чехия;Да;;;Нет;228;май.75;
Душевая стойка Lemark Tropic LM7004C;https://www.aquanet.ru/product/dushevaya_stoyka_lemark_tropic_lm7004s/;LM7004C;Lemark;Главная @ Душевые системы @ Душевые стойки ;Tropic;Душевая стойка;Для ванны с душем;Однорычажное;На стену;;1722;;Латунь;Модерн;Хром;3;Поворотный;Традиционная;;Да;Есть;Есть;01.фев;1500;1500;Чехия;Да;;;Нет;230;июн.25;
Душевая стойка Lemark Tropic LM7002C;https://www.aquanet.ru/product/dushevaya_stoyka_lemark_tropic_lm7002s/;LM7002C;Lemark;Главная @ Душевые системы @ Душевые стойки ;Tropic;Душевая стойка;Для ванны с душем;Однорычажное;На стену;;1850;;Латунь;Модерн;Хром;3;;Традиционная;;Да;Есть;Есть;01.фев;1500;1500;Чехия;Да;;;Нет;;06.янв;
Штанга для душа Ravak X07P012;https://www.aquanet.ru/product/shtanga_dlya_dusha_ravak_x07p012/;X07P012;Ravak;Главная @ Душевые системы @ Штанги для душа ;;Штанга для душа;Для душа;;На стену;106;665;69;Нержавеющая сталь;Модерн;Хром;2;;;;;;;;;;Чехия;;;;;;0.497;
Душевая стойка Oras Optima 7192U;https://www.aquanet.ru/product/dushevaya_stoyka_oras_optima_7192u/;7192U;Oras;Главная @ Душевые системы @ Душевые стойки ;Optima;Душевая стойка;Для душа;Термостат;На стену;285;1200;499;Латунь;Модерн;Хром;3;;;;Да;Есть;Есть;01.фев;;;Финляндия;Да;;;Да;257;апр.82;
